Species,PercOfChecklists,Count
American Pipit,1.14,18
House Finch,7.99,265
Purple Finch,0.98,11
House/Purple Finch,0.16,2
European Goldfinch,0.16,1
Pine Siskin,0.49,17
American Goldfinch,30.18,1347
Lapland Longspur,1.63,184
Chestnut-collared Longspur,0.16,1
Smith's Longspur,0.16,2
longspur sp.,0.16,6
Snow Bunting,2.12,191
Grasshopper Sparrow,0.65,15
Chipping Sparrow,2.45,21
Clay-colored Sparrow,0.16,1
Field Sparrow,4.08,86
Lark Sparrow,0.49,3
Lark Bunting,0.16,1
American Tree Sparrow,12.07,430
Fox Sparrow,2.28,42
Fox Sparrow (Red),0.16,3
Dark-eyed Junco,18.27,632
Dark-eyed Junco (Slate-colored),1.31,87
Dark-eyed Junco (Oregon),0.16,1
White-crowned Sparrow,8.97,535
Harris's Sparrow,0.49,3
White-throated Sparrow,11.09,918
Vesper Sparrow,0.49,7
LeConte's Sparrow,0.49,3
Nelson's Sparrow,0.49,8
Nelson's Sparrow (Interior),0.16,1
Savannah Sparrow,6.85,150
Henslow's Sparrow,0.98,24
Song Sparrow,22.68,494
Lincoln's Sparrow,3.75,33
Swamp Sparrow,9.46,178
Spotted Towhee,0.16,1
Eastern Towhee,4.4,65
new world sparrow sp.,2.12,39
Yellow-breasted Chat,0.49,7
Yellow-headed Blackbird,0.65,4
Bobolink,0.82,26
Western Meadowlark,0.16,1
Eastern Meadowlark,4.24,83
Western/Eastern Meadowlark,0.16,1
Orchard Oriole,1.96,21
Baltimore Oriole,5.22,56
Red-winged Blackbird,40.95,3141
Red-winged Blackbird (Red-winged),0.82,114
Brown-headed Cowbird,15.5,542
Rusty Blackbird,1.79,98
Brewer's Blackbird,0.33,3
Common Grackle,21.37,910
blackbird sp.,0.65,57
Ovenbird,2.61,20
Louisiana Waterthrush,0.33,3
Northern Waterthrush,2.61,22
Golden-winged Warbler,0.65,6
Blue-winged Warbler,0.82,6
Black-and-white Warbler,2.94,43
Prothonotary Warbler,0.16,1
Tennessee Warbler,3.43,64
Orange-crowned Warbler,4.4,34
Nashville Warbler,5.06,55
Connecticut Warbler,0.65,4
Mourning Warbler,0.65,4
Common Yellowthroat,11.09,221
Hooded Warbler,0.16,1
American Redstart,6.2,140
Cape May Warbler,1.47,22
Cerulean Warbler,0.33,2
Northern Parula,1.79,12
Magnolia Warbler,4.4,62
Bay-breasted Warbler,1.79,27
Blackburnian Warbler,1.63,25
Yellow Warbler,13.38,295
